datapointID,DOI,inocType,FieldGreenhouse,treatment,noteTreatments,location,exact_location,Ecosystem,EcoGeneral,EcoRegion,FungalType,dominantFungiSource,Column1,managed/restoration,SoilDataLocation,priorLandUse,plantSpecies,notes,IsLatestTimePoint,comparisonGroup,Treatment2,soilOrigin,Time,TotBiomass,TotBioError,AboveBio,AboveBioError,BelowBio,BelowBioError,Yield,BioErrorType,biomassN,height,heightError,heightErrorType,heightN,CoverPerc,CoverPercError,CoverPercErrorType,coverPercN,V2a: SpeciesRichness,V2a: Error,V2b: ShannonDiversity,V2b: Error,V2: ErrorType,V2: N,seedlingSurvPerc,seedlingSurvPercError,seedlingSurvPercErrorType,seedlingSurvPercErrorN,LeafArea(cm^2),LeafPhosphorous(mg/kgDryWeight),BasalAreaGrowthSeedlings(mm^2),communityMycorrhizationIndex,EMFcolonization%,AMFcolonization%,Bray-CurtisDistance,NumberOfMycorrhizalRootTips,Comments,Column2,Column3,Column4,Column5
431,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Amphypterigium adstringens,,,2,1,hetero,16 weeks,13.14,0.7,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Amphypterigium adstringens,,,2,1,hetero,16 weeks,11.95,1,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,T. rosea,,,3,0,,16 weeks,6.96,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,T. rosea,,,3,1,hetero,16 weeks,14.3,0.7,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,T. rosea,,,3,1,hetero,16 weeks,13.93,0.7,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,T. rosea,,,3,1,hetero,16 weeks,12.04,1.6,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,10.1007/s00572-008-0203-4,ster,greenhouse,"Control: mixture of the soils, autoclaved",,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Cochlospermum vitifolium,,,4,0,,16 weeks,1.48,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from a pasture,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Cochlospermum vitifolium,,,4,1,hetero,16 weeks,10.97,0.9,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from secondary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Cochlospermum vitifolium,,,4,1,hetero,16 weeks,11.51,0.6,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,10.1007/s00572-008-0203-4,soil,greenhouse,Inoculation with soil from primary forest,,"19°29' N, 105°01' W",1,tropical dry forest,forest,tropical,AM,both,,,,,Cochlospermum vitifolium,,,4,1,hetero,16 weeks,9.88,0.4,,,,,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
