"","study_id","SOILTYPE"
"270","10.1007/s11356-020-10636-z"," pb-polluted sites"
"271","10.1371/journal.pone.0234099",NA
"272","10.3390/plants9080975","polluted soils"
"273","10.1016/j.micres.2020.126556",NA
"274","10.1016/j.ecoenv.2020.110988","hm-polluted soils"
"275","10.1016/j.ecoenv.2020.110988"," cd-contaminated soil"
"276","10.1016/j.ecoenv.2020.110988"," cd-polluted soil"
"277","10.1016/j.jtemb.2020.126594",NA
"278","10.13227/j.hjkx.201906119",NA
"279","10.3390/plants9070804",NA
"280","10.1016/j.ecoenv.2020.110869","polluted soils"
"281","10.3390/jof6020087",NA
"282","10.3390/microorganisms8060899",NA
"283","10.1007/s00572-020-00962-y",NA
"284","10.1007/978-1-0716-0603-2_3",NA
"285","10.1007/s00572-020-00957-9","soil salinization"
"286","10.3390/microorganisms8040602","contaminated soil"
"287","10.1186/s40529-020-00290-6",NA
"288","10.3390/jof6020044",NA
"289","10.1016/j.envpol.2020.114406","cd-polluted soils"
"290","10.1016/j.ecoenv.2020.110485",NA
"291","10.3389/fpls.2020.00072",NA
"292","10.3390/microorganisms8030364",NA
"293","10.3390/ijms21051748",NA
"294","10.3390/microorganisms8030327","soil alkalization"
"295","10.1080/15226514.2020.1725867","cd/pb-polluted soils"
"296","10.1038/s41598-020-59447-9","s_c soil"
"297","10.1038/s41598-020-59447-9"," sandy soil"
"298","10.3390/microorganisms8020230",NA
"299","10.1007/s11356-020-07886-2","soil tailings"
"300","10.1007/s00442-020-04598-9",NA
"301","10.1007/s11356-020-07781-w",NA
"302","10.1016/j.scitotenv.2019.136294","pb-polluted soils"
"303","10.1016/j.scitotenv.2019.136294"," a polluted soil polluted"
"304","10.1016/j.jenvman.2019.109982","salt-affected soils"
"305","10.1016/j.jenvman.2019.109982"," saline stress"
"306","10.1016/j.jenvman.2019.109982"," salt-affected soils"
"307","10.1016/j.jhazmat.2019.121873","cd-polluted soils"
"308","10.1016/j.jhazmat.2019.121873"," hm-polluted soils"
"309","10.1007/s11356-019-07300-6",NA
"310","10.1007/s00572-019-00927-w",NA
"311","10.3390/microorganisms7120651","alkaline soil"
"312","10.3389/fmicb.2019.02634",NA
"313","10.3389/fmicb.2019.02591","pb-contaminated soil"
"314","10.1007/s11356-019-06785-5","contaminated sites"
"315","10.1007/s11356-019-06785-5"," contaminated soils"
"316","10.1007/s10661-019-7873-6",NA
"317","10.1002/jsfa.10166","saline soils"
"318","10.1016/j.ecoenv.2019.109783",NA
"319","10.1038/s41598-019-51369-5",NA
"320","10.1038/s41598-019-50354-2","field soils"
"321","10.1016/j.chemosphere.2019.124710",NA
"322","10.1007/s00572-019-00914-1",NA
"323","10.3390/microorganisms7090289","saline soil"
"324","10.1007/s42770-019-00125-y",NA
"325","10.3389/fpls.2019.00843","calcareous soils"
"326","10.3389/fpls.2019.00843"," salinized soils"
"327","10.1002/ecy.2855",NA
"328","10.3389/fpls.2019.00895",NA
"329","10.1016/j.ecoenv.2019.109476",NA
"330","10.1016/j.jenvman.2019.06.130","calcareous soils"
"331","10.1016/j.jenvman.2019.06.130"," heavy metal-contaminated"
"332","10.1016/j.jenvman.2019.06.123","p-limited soils"
"333","10.1016/j.ecoenv.2019.109383","sandy soil"
"334","10.1016/j.ecoenv.2019.109383"," contaminated soil"
"335","10.1016/j.chemosphere.2019.06.160","acidic soil"
"336","10.1016/j.chemosphere.2019.06.160"," acidic cd-contaminated"
"337","10.1016/j.jhazmat.2019.120813","polluted soils"
"338","10.1016/j.jhazmat.2019.120813"," contaminated saline"
"339","10.1016/j.jhazmat.2019.120813"," metal-polluted saline"
"340","10.1371/journal.pone.0218969","marginal soils"
"341","10.1007/s00572-019-00900-7","polluted soils"
"342","10.1007/s00572-019-00900-7"," cd-polluted soils"
"343","10.1111/nph.15993",NA
"344","10.1007/s00572-019-00898-y","ultramafic soils"
"345","10.1016/j.envpol.2019.03.060",NA
"346","10.1007/s11356-019-05323-7","alkaline soil"
"347","10.3390/molecules24081603",NA
"348","10.1039/c8ra10442e","the abandoned rare earth tailings"
"349","10.1007/s00572-019-00890-6",NA
"350","10.1016/j.chemosphere.2018.12.211","soil polluted"
"351","10.34133/2019/5893953",NA
"352","10.1007/s00572-019-00884-4",NA
"353","10.1371/journal.pone.0213672",NA
"354","10.3390/foods8030090","potting mix"
"355","10.3390/foods8030090"," compost soils"
"356","10.7717/peerj.6421","ectomycorrhizosphere soil"
"357","10.1007/s00572-019-00883-5",NA
"358","10.3389/fpls.2018.01906","vineyard soil"
"359","10.3389/fpls.2018.01906"," cu-contaminated soil"
"360","10.3389/fpls.2018.01906"," contaminated soil"
"361","10.1007/s11356-019-04256-5","as-contaminated soils"
"362","10.1111/1758-2229.12729",NA
"363","10.1016/j.ecoenv.2018.12.097","cd-amended soils"
"364","10.1016/j.scitotenv.2018.11.317","cd-contaminated soils"
"365","10.1016/j.scitotenv.2018.11.317"," cd-polluted soil"
"366","10.1002/ajb2.1206",NA
"367","10.3389/fpls.2018.01611",NA
"368","10.3389/fpls.2018.01631","chernozem soil"
"369","10.3389/fpls.2018.01605",NA
"370","10.1016/j.chemosphere.2018.11.085","contaminated sites"
"371","10.1016/j.chemosphere.2018.11.085"," contaminated soils"
"372","10.13287/j.1001-9332.201809.034",NA
"373","10.1016/j.ecoenv.2018.10.046","contaminated soils"
"374","10.19540/j.cnki.cjcmm.20180528.004","acidic neutral"
"375","10.1016/j.chemosphere.2018.09.143","heavy metal-contaminated"
"376","10.1016/j.chemosphere.2018.08.147","hg-polluted soil"
"377","10.1016/j.chemosphere.2018.08.147"," hg-contaminated substrate"
"378","10.1186/s12898-018-0197-5","local soils"
"379","10.1007/s12088-018-0749-6",NA
"380","10.1002/ecy.2502","pasteurized soil"
"381","10.3390/plants7030063","saline soil"
"382","10.3390/plants7030063"," saline soils"
"383","10.1016/j.plantsci.2018.05.015",NA
"384","10.3389/fpls.2018.01046",NA
"385","10.1007/s00572-018-0856-6",NA
"386","10.3390/ijms19082160",NA
"387","10.1007/s00572-018-0853-9",NA
"388","10.13227/j.hjkx.201702041","contaminated soil"
"389","10.13227/j.hjkx.201702041"," pb-contaminated soils"
"390","10.13227/j.hjkx.201702041"," contaminated soils severely"
"391","10.1007/s00572-018-0844-x",NA
"392","10.1016/j.envpol.2018.06.003",NA
"393","10.1080/15226514.2018.1438358","polluted soils"
"394","10.1007/s00572-018-0839-7","flooded"
"395","10.3389/fpls.2018.00607",NA
"396","10.1186/s12284-018-0226-1",NA
"397","10.1093/femsec/fiy092",NA
"398","10.1016/j.envpol.2018.04.138","b-contaminated soils"
"399","10.1016/j.ecoenv.2018.03.073",NA
"400","10.7717/peerj.4425",NA
"401","10.1007/s00572-018-0826-z",NA
"402","10.1007/s11356-018-1533-1","sandy soil"
"403","10.1007/s11356-018-1533-1"," sandy soils"
"404","10.3389/fpls.2018.00093",NA
"405","10.1016/j.scitotenv.2018.01.331",NA
"406","10.1590/0001-3765201820160189",NA
"407","10.1139/cjm-2017-0521",NA
"408","10.3389/fpls.2017.02236",NA
"409","10.1007/s00572-018-0823-2",NA
"410","10.1007/s00572-018-0819-y","polluted sites"
"411","10.1007/s00572-018-0819-y"," non-polluted polluted substrate"
"412","10.1007/s00572-018-0819-y"," polluted substrate"
"413","10.7717/peerj.4183",NA
"414","10.1186/s13104-017-3105-8","soils salinized salinized"
"415","10.1016/j.chemosphere.2017.12.025","cd-contaminated soil"
"416","10.1016/j.chemosphere.2017.12.025"," contaminated soil"
"417","10.3934/microbiol.2017.4.938","sandy loam"
"418","10.1016/j.scitotenv.2017.11.188","pleistocene sandy"
"419","10.1016/j.scitotenv.2017.11.188"," coarse tailings"
"420","10.1016/j.scitotenv.2017.11.188"," tailings dry mature fine mft"
"421","10.1016/j.scitotenv.2017.11.188"," sandy soil"
"422","10.1016/j.scitotenv.2017.11.188"," tailings mix"
"423","10.1007/s00572-017-0809-5",NA
"424","10.1007/s00425-017-2808-3","marginal soils"
"425","10.1016/j.scitotenv.2017.09.066",NA
"426","10.1016/j.bjm.2017.04.005",NA
"427","10.1016/j.ecoenv.2017.06.059",NA
"428","10.1016/j.jenvman.2017.06.036","contaminated soil extremely"
"429","10.1016/j.jenvman.2017.06.036"," contaminated soils"
"430","10.1016/j.jenvman.2017.06.036"," contaminated soil"
"431","10.1007/s11356-017-9463-x",NA
"432","10.3389/fpls.2017.00931","nutrient-deficient soil"
"433","10.1039/c7mt00072c",NA
"434","10.1007/s00572-017-0778-8","saline soil"
"435","10.1007/s00248-017-0999-6",NA
"436","10.1080/15226514.2017.1284751","pb/zn tailings"
"437","10.1016/j.scitotenv.2017.05.047","cd-contaminated soil"
"438","10.3389/fpls.2017.00684",NA
"439","10.1007/s00572-017-0775-y",NA
"440","10.3389/fpls.2017.00517","polluted soils"
"441","10.1016/j.envpol.2017.03.058","more marginal soils"
"442","10.1016/j.envpol.2017.03.058"," trace element"
"443","10.1007/s00572-017-0768-x",NA
"444","10.1002/ecy.1793",NA
"445","10.1007/s11356-017-8649-6","karst soil"
"446","10.1007/s11356-017-8649-6"," n-poor soils"
"447","10.1007/s11356-017-8649-6"," karst soils"
"448","10.1139/cjm-2016-0597","salinized farmland"
"449","10.2134/jeq2016.04.0125",NA
"450","10.1016/j.plaphy.2017.01.001",NA
"451","10.1002/jsfa.8201",NA
"452","10.1016/j.scitotenv.2016.12.031",NA
"453","10.3389/fpls.2016.01901",NA
"454","10.1371/journal.pone.0167014",NA
"455","10.1016/j.bjm.2016.10.012","high temperatures"
"456","10.1007/s00442-016-3771-6",NA
"457","10.1080/15226514.2016.1244157","contaminated soil"
"458","10.1080/15226514.2016.1244157"," soil remediation"
"459","10.1016/j.chemosphere.2016.09.145","cd-contaminated acidic"
"460","10.1016/j.chemosphere.2016.09.145"," acidic soil"
"461","10.1002/ece3.2456",NA
"462","10.3389/fmicb.2016.01246","c4"
"463","10.13277/j.hjkx.2016.08.049","contaminated soil/sediments"
"464","10.1080/15226514.2016.1207596",NA
"465","10.3389/fmicb.2016.01030",NA
"466","10.1080/15226514.2016.1207602","soil pollution"
"467","10.1016/j.ecoenv.2016.06.012","as-contaminated soils"
"468","10.1186/s12862-016-0698-9",NA
"469","10.1007/s00572-016-0712-5",NA
"470","10.1007/s11356-016-6941-5",NA
"471","10.1007/s00248-016-0779-8","hot desert soils"
"472","10.15517/rbt.v64i2.20289",NA
"473","10.1016/j.crvi.2016.04.009","watering regime"
"474",NA,NA
"475","10.1007/s00572-016-0699-y","metal-contaminated phytoremediation"
"476","10.1007/s00572-016-0699-y"," metal-contaminated sites"
"477","10.1021/acs.jafc.6b00408",NA
"478",NA,"ce-contaminated soils"
"479","10.1371/journal.pone.0153378",NA
"480","10.1093/aobpla/plw018","invaded soils"
"481","10.1007/s11356-016-6337-6","hg-contaminated soils"
"482","10.1007/s11356-016-6337-6"," hg-contaminated sandy"
"483","10.1371/journal.pone.0150181",NA
"484","10.1038/srep21805","cd-amended soils"
"485","10.1038/srep21805"," cd-contaminated soils"
"486","10.1007/s00572-016-0687-2",NA
"487","10.1038/srep20469","polluted soil"
"488","10.1093/jxb/erv561","hyphosphere soil"
"489","10.1093/jxb/erv561"," the hyphosphere"
"490","10.1016/j.jplph.2015.11.007",NA
"491","10.3923/pjbs.2016.158.170","oleo"
"492","10.1371/journal.pone.0145793",NA
"493","10.1371/journal.pone.0145726","polluted soils"
"494","10.1371/journal.pone.0145726"," contaminated soils"
"495","10.1371/journal.pone.0145726"," contaminated soils heavily"
"496","10.1371/journal.pone.0145726"," heavy metal-contaminated"
"497","10.1080/15226514.2015.1131232","high biomass"
"498","10.1007/s11356-015-5914-4","contaminated soils"
"499","10.1007/s11356-015-5914-4"," contaminated soils diminish"
"500",NA,"polluted soil"
"501","10.1007/s00572-015-0670-3",NA
"502","10.1007/s00572-015-0666-z",NA
"503","10.3389/fpls.2015.00815",NA
"504","10.1007/s00572-015-0659-y",NA
"505","10.1007/s11356-015-5094-2",NA
"506",NA,NA
"507","10.1111/pce.12600","field soils"
"508","10.1371/journal.pone.0128841",NA
"509","10.1016/j.chemosphere.2015.04.023",NA
"510","10.3390/jof1010055",NA
"511","10.1007/s00572-015-0638-3",NA
"512","10.3389/fmicb.2015.00203",NA
"513","10.1080/15226514.2014.989311","contaminated soils"
"514","10.1007/s11356-014-3837-0",NA
"515","10.1016/j.scitotenv.2015.01.085",NA
"516","10.1038/srep08122",NA
"517","10.1016/j.ecoenv.2014.12.033","remediate soils"
"518","10.3389/fmicb.2014.00682",NA
"519","10.1080/15226514.2014.950408","polluted soil"
"520","10.1016/j.jplph.2014.08.019","autochthonous microorganisms"
"521","10.1016/j.jplph.2014.08.019"," arid soil"
"522","10.1016/j.ecoenv.2014.09.019","contaminated soils"
