DOI,PMID
10.1016/j.jenvrad.2007.04.001,17544553
10.1007/s10646-007-0149-x,17541824
10.2134/jeq2006.0260,17526871
10.1016/j.envpol.2007.03.015,17507124
10.1016/j.chemosphere.2007.02.068,17475308
10.3923/pjbs.2007.1491.1495,19069963
10.1007/s00248-007-9239-9,17372663
10.1055/s-2006-955946,17301933
10.1007/s00248-006-9078-0,17075734
10.1016/j.envpol.2006.08.005,17011687
10.1016/j.scitotenv.2006.07.008,16989893
10.1016/j.envpol.2006.06.029,16905229
10.1016/j.chemosphere.2006.07.007,16905176
10.1016/j.jhazmat.2006.05.012,16777321
10.2134/jeq2005.0271,16738383
10.1128/aem.63.11.4408-4412.1997,16535730
10.1007/s10653-005-9020-2,16528586
10.1016/j.chemosphere.2006.01.034,16499948
10.1111/j.1365-2672.2005.02804.x,16478498
10.1055/s-2005-872972,16388476
10.1007/s00572-005-0022-9,16322986
10.1007/s00572-005-0020-y,16261378
10.1111/j.1469-8137.2005.01490.x,16159333
10.1007/s00572-005-0018-5,16133252
10.1017/s0953756205002832,16121565
10.1007/s00572-005-0003-z,16059721
10.1016/j.chemosphere.2005.01.038,16054916
10.1016/j.envpol.2005.05.009,16039023
10.1016/j.envpol.2005.05.005,15998561
10.1016/j.envint.2005.05.041,15982738
10.1016/j.chemosphere.2005.01.029,15963805
10.1016/j.jbiotec.2004.12.009,15748763
10.1016/j.scitotenv.2004.07.015,15713335
10.1016/j.chemosphere.2004.10.009,15698640
10.1007/s00248-003-0131-y,15690228
10.1007/s00442-004-1777-y,15583941
10.1007/s00572-004-0321-6,15316885
10.1016/j.envpol.2004.02.015,15234095
10.1007/s00572-004-0312-7,15221578
10.1128/AEM.70.5.2692-2701.2004,15128520
10.1016/S0960-8524(03)00198-6,14766166
10.1046/j.1469-8137.2003.00938.x,33873500
10.1007/s00572-003-0289-7,14750001
10.2134/jeq2003.2001,14674521
10.1139/w03-073,14663492
10.1007/s00572-003-0281-2,14661105
10.1007/s00572-003-0224-y,14593519
10.1007/s00572-003-0274-1,14574620
10.1007/s00572-003-0265-2,12942358
10.1007/s00572-002-0213-6,12938030
10.1016/s0269-7491(03)00195-7,12927489
10.1046/j.1469-8137.2003.00688.x,33873405
10.1007/s00267-002-2879-0,12592456
10.1093/treephys/23.3.157,12566266
10.1016/s0045-6535(02)00323-5,12363308
10.1007/s00442-002-1022-5,24599369
10.1007/s00572-001-0147-4,12035727
10.1093/jexbot/53.371.1207,11971931
10.1093/jexbot/53.371.1177,11971928
