"","study_id","ECOREGION"
"442","10.1890/13-0025.1",NA
"443","10.1111/nph.12876",NA
"444","10.1007/s11356-014-2938-0",NA
"445","10.1007/s00284-014-0589-5",NA
"446","10.1007/s00572-014-0582-7","semiarid regions"
"447","10.1038/srep04671",NA
"448","10.1371/journal.pone.0093967",NA
"449",NA,NA
"450","10.1371/journal.pone.0090738","hilly area"
"451","10.1371/journal.pone.0090738"," semiarid"
"452","10.1371/journal.pone.0090738"," mediterranean environment"
"453","10.1016/j.jplph.2013.10.023",NA
"454","10.1007/s11356-014-2696-z",NA
"455","10.1007/s10646-014-1200-3",NA
"456","10.1007/s00572-014-0555-x",NA
"457","10.3732/ajb.1300262",NA
"458","10.1890/13-1821.1",NA
"459","10.1590/s1517-83822014000400007",NA
"460","10.1038/ismej.2013.224",NA
"461","10.1016/j.jplph.2013.10.011",NA
"462","10.1890/12-1943.1",NA
"463","10.3389/fpls.2013.00338",NA
"464",NA,NA
"465","10.1016/j.chemosphere.2013.07.089",NA
"466","10.1371/journal.pone.0070633","tropical"
"467","10.1093/aob/mct177",NA
"468","10.1016/j.jenvrad.2013.07.001",NA
"469","10.1016/j.chemosphere.2013.04.093",NA
"470",NA,NA
"471","10.1016/s1001-0742(12)60060-6",NA
"472","10.1111/nph.12273",NA
"473","10.1007/s00572-013-0494-y",NA
"474","10.1093/aob/mct062",NA
"475","10.1080/09593330.2012.689369",NA
"476","10.1080/15226514.2012.716099",NA
"477","10.1093/aob/mct035",NA
"478","10.1111/pce.12082",NA
"479","10.1890/11-1715.1",NA
"480","10.1371/journal.pone.0048669",NA
"481","10.1007/s00572-012-0460-0",NA
"482","10.1016/j.jhazmat.2012.08.020",NA
"483","10.1016/j.jenvrad.2012.08.004",NA
"484","10.1080/15226514.2011.619230",NA
"485","10.1039/c2em30333g",NA
"486","10.1007/s11274-011-0823-2",NA
"487","10.1016/j.jhazmat.2012.05.091",NA
"488","10.1007/s00572-012-0448-9",NA
"489","10.1016/j.jhazmat.2012.05.044",NA
"490","10.1007/s00572-012-0447-x",NA
"491","10.1007/s00572-012-0446-y",NA
"492","10.1890/11-1247.1",NA
"493","10.1016/j.envpol.2012.04.026",NA
"494","10.1111/j.1438-8677.2012.00581.x",NA
"495","10.1007/s11270-011-0915-5",NA
"496","10.1139/w11-140",NA
"497",NA,NA
"498",NA,NA
"499","10.1016/j.scitotenv.2011.10.053",NA
"500",NA,NA
"501","10.1080/15226514.2011.568546",NA
"502","10.1890/10-1915.1",NA
"503","10.1590/S1517-83822011000300004","semi-arid region"
"504","10.1007/s00572-011-0391-1",NA
"505","10.1186/1471-2229-11-98",NA
"506","10.1080/15226510903535056","semiarid mediterranean"
"507","10.1080/15226510903353104",NA
"508","10.1080/15226511003671353",NA
"509","10.1016/j.scitotenv.2011.04.029","semiarid"
"510","10.1016/j.ejsobi.2011.03.001",NA
"511","10.1007/s00572-011-0379-x",NA
"512","10.1007/s00572-011-0370-6",NA
"513","10.1007/s00572-011-0372-4",NA
"514","10.1016/j.jenvman.2011.02.015",NA
"515","10.1016/j.jplph.2010.12.019",NA
"516","10.1007/s12011-011-8973-5",NA
"517","10.1007/s00122-010-1501-8",NA
"518","10.1007/s00572-010-0360-0",NA
"519","10.1139/w10-096",NA
"520","10.1016/j.scitotenv.2010.12.019","semiarid soil"
"521","10.1016/j.scitotenv.2010.11.020","semi-arid"
"522",NA,NA
"523","10.1016/j.envpol.2010.11.035",NA
"524","10.1016/j.phytochem.2010.11.008",NA
"525","10.1007/s00572-010-0343-1",NA
"526","10.1016/j.envpol.2010.09.032",NA
"527","10.1007/s00572-010-0340-4",NA
"528","10.1016/j.jhazmat.2010.09.004",NA
"529","10.1093/aob/mcq170",NA
"530","10.1080/15226510903051740",NA
"531","10.1016/j.scitotenv.2010.07.064",NA
"532","10.1016/j.jenvman.2010.07.008","semi-arid soil"
"533","10.1007/s00253-010-2791-0",NA
"534","10.1016/j.jhazmat.2010.05.042",NA
"535","10.1016/j.plaphy.2010.04.002","semiarid coastal"
"536","10.1007/s00572-010-0311-9",NA
"537","10.1100/tsw.2010.59",NA
"538","10.1111/j.1469-8137.2009.03162.x",NA
"539","10.1002/jsfa.3871",NA
"540","10.1073/pnas.0906710107",NA
"541","10.1007/s00572-009-0296-4",NA
"542",NA,NA
"543",NA,NA
"544","10.1007/s00572-009-0294-6",NA
"545","10.1007/s00248-009-9618-5",NA
"546","10.1080/15226510902787310",NA
"547","10.1007/s00572-009-0279-5",NA
"548","10.1016/j.chemosphere.2009.08.050",NA
"549","10.1139/w09-031",NA
"550","10.1016/j.biortech.2009.07.010",NA
"551","10.1890/07-2080.1",NA
"552","10.1016/j.chemosphere.2009.05.025",NA
"553","10.1016/j.scitotenv.2009.05.021",NA
"554","10.1007/s00248-009-9544-6",NA
"555","10.1093/treephys/tpp038",NA
"556","10.1890/08-0419.1",NA
"557","10.1007/s00572-009-0241-6","tropical"
"558","10.1007/s00442-009-1312-2",NA
"559","10.1016/j.chemosphere.2009.02.008",NA
"560","10.1016/j.chemosphere.2009.01.046",NA
"561","10.1007/s00248-009-9489-9",NA
"562","10.1007/s00442-009-1294-0",NA
"563","10.1016/j.envpol.2008.12.030",NA
"564","10.1080/15226510802378483",NA
"565","10.1007/s00572-009-0230-9",NA
"566","10.1016/j.envpol.2008.12.022",NA
"567","10.1007/s00572-009-0228-3","mediterranean area"
"568","10.1007/s00442-008-1192-x",NA
"569","10.1890/07-1394.1",NA
"570","10.1139/w08-081",NA
"571","10.1007/s00572-008-0203-4","tropical dry"
"572","10.1016/s1001-0742(08)62121-x",NA
"573","10.1111/j.1574-6968.2008.01318.x",NA
"574","10.1016/j.ecoenv.2008.01.027",NA
"575","10.1007/s00572-008-0178-1",NA
"576","10.1016/j.chemosphere.2008.03.040",NA
"577","10.3852/mycologia.100.1.6",NA
"578","10.1890/07-0823.1",NA
"579","10.1016/j.scitotenv.2008.02.003",NA
"580","10.1016/j.envpol.2008.01.003",NA
"581","10.1055/s-2007-964963",NA
"582","10.1016/j.biortech.2007.11.059",NA
"583","10.1016/s1001-0742(07)60203-4",NA
"584","10.1016/j.jenvrad.2007.10.007",NA
"585","10.1016/j.envpol.2007.10.023",NA
