"","study_id","LOCATION"
"297","10.1016/j.envpol.2019.03.060","brazil"
"298","10.1007/s11356-019-05323-7",NA
"299","10.3390/molecules24081603",NA
"300","10.1039/c8ra10442e","ganzhou jiangxi"
"301","10.1007/s00572-019-00890-6",NA
"302","10.1016/j.chemosphere.2018.12.211",NA
"303","10.34133/2019/5893953",NA
"304","10.1007/s00572-019-00884-4",NA
"305","10.1371/journal.pone.0213672",NA
"306","10.3390/foods8030090","lebanon"
"307","10.7717/peerj.6421","ectomycorrhization"
"308","10.1007/s00572-019-00883-5","brazil"
"309","10.3389/fpls.2018.01906",NA
"310","10.1007/s11356-019-04256-5",NA
"311","10.1111/1758-2229.12729",NA
"312","10.1016/j.ecoenv.2018.12.097",NA
"313","10.1016/j.scitotenv.2018.11.317",NA
"314","10.1002/ajb2.1206","european"
"315","10.3389/fpls.2018.01611",NA
"316","10.3389/fpls.2018.01631",NA
"317","10.3389/fpls.2018.01605",NA
"318","10.1016/j.chemosphere.2018.11.085",NA
"319","10.13287/j.1001-9332.201809.034","am+psb"
"320","10.13287/j.1001-9332.201809.034"," northwest china"
"321","10.1016/j.ecoenv.2018.10.046",NA
"322","10.19540/j.cnki.cjcmm.20180528.004",NA
"323","10.1016/j.chemosphere.2018.09.143",NA
"324","10.1016/j.chemosphere.2018.08.147","b idrija slovenia"
"325","10.1016/j.chemosphere.2018.08.147"," idrija slovenia"
"326","10.1186/s12898-018-0197-5","germany"
"327","10.1007/s12088-018-0749-6",NA
"328","10.1002/ecy.2502",NA
"329","10.3390/plants7030063",NA
"330","10.1016/j.plantsci.2018.05.015",NA
"331","10.3389/fpls.2018.01046","united states"
"332","10.3389/fpls.2018.01046"," american"
"333","10.3389/fpls.2018.01046"," eastern"
"334","10.1007/s00572-018-0856-6",NA
"335","10.3390/ijms19082160","heilongjiang province"
"336","10.1007/s00572-018-0853-9",NA
"337","10.13227/j.hjkx.201702041",NA
"338","10.1007/s00572-018-0844-x",NA
"339","10.1016/j.envpol.2018.06.003",NA
"340","10.1080/15226514.2018.1438358",NA
"341","10.1007/s00572-018-0839-7",NA
"342","10.3389/fpls.2018.00607",NA
"343","10.1186/s12284-018-0226-1",NA
"344","10.1093/femsec/fiy092",NA
"345","10.1016/j.envpol.2018.04.138",NA
"346","10.1016/j.ecoenv.2018.03.073",NA
"347","10.7717/peerj.4425",NA
"348","10.1007/s00572-018-0826-z",NA
"349","10.1007/s11356-018-1533-1",NA
"350","10.3389/fpls.2018.00093",NA
"351","10.1016/j.scitotenv.2018.01.331",NA
"352","10.1590/0001-3765201820160189",NA
"353","10.1139/cjm-2017-0521",NA
"354","10.3389/fpls.2017.02236","united states"
"355","10.3389/fpls.2017.02236"," australian"
"356","10.3389/fpls.2017.02236"," southern oklahoma"
"357","10.1007/s00572-018-0823-2",NA
"358","10.1007/s00572-018-0819-y",NA
"359","10.7717/peerj.4183",NA
"360","10.1186/s13104-017-3105-8",NA
"361","10.1016/j.chemosphere.2017.12.025",NA
"362","10.3934/microbiol.2017.4.938",NA
"363","10.1016/j.scitotenv.2017.11.188","canada"
"364","10.1016/j.scitotenv.2017.11.188"," northern alberta"
"365","10.1007/s00572-017-0809-5",NA
"366","10.1007/s00425-017-2808-3",NA
"367","10.1016/j.scitotenv.2017.09.066",NA
"368","10.1016/j.bjm.2017.04.005","sonoran desert mexico"
"369","10.1016/j.ecoenv.2017.06.059",NA
"370","10.1016/j.jenvman.2017.06.036",NA
"371","10.1007/s11356-017-9463-x",NA
"372","10.3389/fpls.2017.00931",NA
"373","10.1039/c7mt00072c",NA
"374","10.1007/s00572-017-0778-8",NA
"375","10.1007/s00248-017-0999-6","brazilian"
"376","10.1080/15226514.2017.1284751","northern china"
"377","10.1016/j.scitotenv.2017.05.047",NA
"378","10.3389/fpls.2017.00684",NA
"379","10.1007/s00572-017-0775-y","urmia"
"380","10.3389/fpls.2017.00517",NA
"381","10.1016/j.envpol.2017.03.058",NA
"382","10.1007/s00572-017-0768-x",NA
"383","10.1002/ecy.1793","panama"
"384","10.1007/s11356-017-8649-6","southern china"
"385","10.1139/cjm-2016-0597",NA
"386","10.2134/jeq2016.04.0125",NA
"387","10.1016/j.plaphy.2017.01.001",NA
"388","10.1002/jsfa.8201",NA
"389","10.1016/j.scitotenv.2016.12.031",NA
"390","10.3389/fpls.2016.01901",NA
"391","10.1371/journal.pone.0167014","senegal"
"392","10.1016/j.bjm.2016.10.012",NA
"393","10.1007/s00442-016-3771-6","southern ontario"
"394","10.1080/15226514.2016.1244157",NA
"395","10.1016/j.chemosphere.2016.09.145",NA
"396","10.1002/ece3.2456",NA
"397","10.3389/fmicb.2016.01246",NA
"398","10.13277/j.hjkx.2016.08.049",NA
"399","10.1080/15226514.2016.1207596","southern brazil"
"400","10.3389/fmicb.2016.01030",NA
"401","10.1080/15226514.2016.1207602",NA
"402","10.1016/j.ecoenv.2016.06.012",NA
"403","10.1186/s12862-016-0698-9",NA
"404","10.1007/s00572-016-0712-5",NA
"405","10.1007/s11356-016-6941-5",NA
"406","10.1007/s00248-016-0779-8","ladakh india"
"407","10.15517/rbt.v64i2.20289","mezquital"
"408","10.15517/rbt.v64i2.20289"," mexico central"
"409","10.1016/j.crvi.2016.04.009",NA
"410",NA,NA
"411","10.1007/s00572-016-0699-y",NA
"412","10.1021/acs.jafc.6b00408",NA
"413",NA,NA
"414","10.1371/journal.pone.0153378",NA
"415","10.1093/aobpla/plw018",NA
"416","10.1007/s11356-016-6337-6",NA
"417","10.1371/journal.pone.0150181","northern quebec"
"418","10.1038/srep21805",NA
"419","10.1007/s00572-016-0687-2",NA
"420","10.1038/srep20469",NA
"421","10.1093/jxb/erv561",NA
"422","10.1016/j.jplph.2015.11.007",NA
"423","10.3923/pjbs.2016.158.170","jaya"
"424","10.3923/pjbs.2016.158.170"," indonesia"
"425","10.3923/pjbs.2016.158.170"," vale indonesia"
"426","10.3923/pjbs.2016.158.170"," lamedai nature reserve forest"
"427","10.1371/journal.pone.0145793",NA
"428","10.1371/journal.pone.0145726",NA
"429","10.1080/15226514.2015.1131232",NA
"430","10.1007/s11356-015-5914-4","portuguese mine"
"431",NA,NA
"432","10.1007/s00572-015-0670-3",NA
"433","10.1007/s00572-015-0666-z",NA
"434","10.3389/fpls.2015.00815",NA
"435","10.1007/s00572-015-0659-y",NA
"436","10.1007/s11356-015-5094-2",NA
"437",NA,NA
"438","10.1111/pce.12600",NA
"439","10.1371/journal.pone.0128841",NA
"440","10.1016/j.chemosphere.2015.04.023",NA
"441","10.3390/jof1010055",NA
"442","10.1007/s00572-015-0638-3",NA
"443","10.3389/fmicb.2015.00203",NA
"444","10.1080/15226514.2014.989311",NA
"445","10.1007/s11356-014-3837-0","italy"
"446","10.1016/j.scitotenv.2015.01.085",NA
"447","10.1038/srep08122",NA
"448","10.1016/j.ecoenv.2014.12.033",NA
"449","10.3389/fmicb.2014.00682",NA
"450","10.1080/15226514.2014.950408","morocco"
"451","10.1016/j.jplph.2014.08.019",NA
"452","10.1016/j.ecoenv.2014.09.019",NA
"453","10.1007/s00572-014-0613-4","the arctic"
"454","10.1007/s00572-014-0613-4"," arctic sites"
"455","10.1007/s00572-014-0613-4"," arctic regions"
"456",NA,"hunan province"
"457",NA,NA
"458","10.1007/s10646-014-1368-6",NA
"459","10.5423/PPJ.OA.10.2012.0156","northeast brazil"
"460","10.5423/PPJ.OA.10.2012.0156"," the northeast"
"461","10.1016/j.jes.2014.07.013",NA
"462","10.1007/s00442-014-3091-7",NA
"463","10.1007/s10646-014-1331-6",NA
"464","10.1007/s00572-014-0600-9",NA
"465","10.1007/s11356-014-3396-4",NA
"466","10.1007/s00572-014-0596-1",NA
"467","10.1371/journal.pone.0101487",NA
"468","10.1016/j.scitotenv.2014.06.045",NA
"469","10.1080/15226514.2013.856852",NA
"470","10.1890/13-0025.1",NA
"471","10.1111/nph.12876",NA
